                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.81813,                 2.5835,                 1.8075,                 1.0919,                0.18912,                0.30769,                0.12285,                0.10477,                 0.1949,                0.26923,                0.13879,                0.10061,                0.60562,                 1.2955,                 2.4029,                 1.0272,                    0.1,                      0,                      0
                      1,                0.91114,                 2.2081,                 1.7632,                 1.1029,                 0.1811,                0.30769,                0.11836,                0.10072,                0.19899,                 0.2964,                0.12692,                0.09646,                0.61258,                 1.3131,                 2.4254,                 1.0324,                0.09909,               9.01e-05,               9.01e-05
                      2,                0.79013,                 2.3482,                 1.7245,                 1.0705,                  0.167,                0.34615,                0.11899,                0.09896,                0.20335,                0.26923,                0.12736,                 0.0972,                0.61166,                 1.3102,                 2.4373,                 1.0321,                0.09816,              0.0001604,              0.0001604
                      3,                0.95087,                 2.1157,                 1.8975,                 1.1386,                0.17385,                0.34615,                0.12094,                0.10084,                0.16968,                0.23077,                0.13271,                0.09777,                0.60782,                 1.3046,                 2.4488,                 1.0302,               0.097211,              0.0002109,              0.0002109
                      4,                0.91526,                 1.9826,                 1.8102,                 1.1492,                0.13159,                0.15385,                0.11958,                0.09891,                0.16449,                0.19231,                0.12791,                0.09684,                0.60534,                 1.2767,                 2.4555,                 1.0253,               0.096242,              0.0002416,              0.0002416
                      5,                 0.8004,                 1.9382,                 1.8434,                 1.0244,                0.17736,                0.15385,                0.11179,                0.09256,                0.21685,                0.19231,                0.11914,                0.09124,                0.61716,                 1.2802,                 2.4622,                 1.0279,               0.095253,              0.0002525,              0.0002525
                      6,                0.80225,                 2.2918,                 1.9239,                 1.1235,                0.32336,                0.11538,                0.11842,                0.10218,                0.19129,                0.19231,                0.12459,                0.09824,                0.62019,                  1.256,                 2.4337,                 1.0215,               0.094244,              0.0002436,              0.0002436
                      7,                0.82763,                 2.5191,                 1.6202,                 1.0634,                0.20774,                0.11538,                0.11532,                0.09929,                0.18574,                0.18448,                0.12479,                0.09539,                0.61544,                 1.2548,                 2.4287,                 1.0196,               0.093215,              0.0002149,              0.0002149
                      8,                0.78119,                  2.064,                 1.6537,                 1.0609,                0.33772,                0.11538,                0.11561,                0.09957,                 0.1826,                0.15385,                0.12243,                0.09468,                0.60718,                 1.2386,                 2.4186,                 1.0132,               0.092166,              0.0001664,              0.0001664
                      9,                 1.0037,                 2.0715,                 2.3188,                 1.1069,                 0.2269,                0.11538,                0.10475,                0.08986,                 0.2269,                0.11538,                0.10135,                0.08442,                0.60685,                 1.2312,                 2.4422,                 1.0142,               0.091098,               9.81e-05,               9.81e-05
